,user.name,created_at,id,full_text,display_text_range,source,retweet_count,favorite_count,user.followers_count,user.friends_count,user.statuses_count,entities.hashtags,entities.urls,partido,tipo de post
39,Claudia Gonzalez,2021-04-17 10:59:05+00:00,1383374448561033216,"@a_lombana @DionisioHermes @IvanDuque Criterios no mi señor, el ingreso percapita se verá muy afectado y como ciudadanos eso al fin es una de las prioridades , lo que hay que hacer es priorizar y focalizar las acciones con EFICIENCIA y no llenar el país de subsidios a quienes NO APLICAN.","[38, 288]",['Twitter for Android'],0,0,33,67,91,[],[],Ciudadanos,mención
40,...,2021-04-17 10:59:03+00:00,1383374440206016512,@sextaNoticias Me parece bien que ejerza su derecho a decir si quiere ponerse esa vacuna o no. Recordemos que hay países en nuestro entorno donde sus ciudadanos tienen la libertad de decidir cuál ponerse. Aquí no tenemos opción de elección y no hay que demonizar a quien no quiera ponérsela,"[15, 290]",['Twitter for Android'],0,0,13,58,7381,[],[],Ciudadanos,mención
41,Miriam J Ramirez MD,2021-04-17 10:58:53+00:00,1383374399894540290,Para destruir la economía USA y enfermar de los nervios a sus ciudadanos! Ah... y para sacar a Trump q es su enemigo! Mi teoría es q El enemigo de mi enemigo es mi amigo! https://t.co/dK68gHmZu6,"[0, 170]",['Twitter for iPhone'],1,1,12767,5297,70680,[],"[{'url': 'https://t.co/dK68gHmZu6', 'expanded_url': 'https://twitter.com/mariarguelles4/status/1383362584426926088', 'display_url': 'twitter.com/mariarguelles4…', 'indices': [171, 194]}]",Ciudadanos,mención
42,María Cristina Arrastia,2021-04-17 10:58:48+00:00,1383374380474912772,@adrianalpmqlp @LucenaChimi @alferdez Quieren primero robar todo y después una villa miseria eso los hace felices no se lo permitan los ciudadanos de la ciudad,"[38, 159]",['Twitter for Android'],0,0,419,728,6118,[],[],Ciudadanos,mención
43,Alvaro Luna Porras,2021-04-17 10:58:41+00:00,1383374348661137411,@Amaltea_lav @DavidGRod3 Cierto Andrea Reforma es excelente Ahora podremos pagar IVA al agua a canasta familiar al funeral etc Los millones de subsidiados son muy desagradecidos Cómo no estar contentos de contribuir como buenos ciudadanos al pago de aviones programa TV y contratos mejorar imagen de pte?,"[25, 304]",['Twitter for Android'],0,0,152,374,7285,[],[],Ciudadanos,mención
44,Damian C,2021-04-17 10:58:40+00:00,1383374344156454916,"@waledi52 @1080marcelo @mariuch34864688 @LuisLacallePou Sabés que es más facil?  Culpar a los ciudadanos que tienen que ir a trabajar, porque los patrones los obligan, porque a estos nadie los apoya si tienen que cerrar como es necesario.  El gobierno NO APOYA, NO AYUDA, solo culpa a los ciudadanos.","[56, 300]",['Twitter Web App'],0,0,70,264,1055,[],[],Ciudadanos,mención
45,Ignacio Morro,2021-04-17 10:58:39+00:00,1383374343166566402,@AbelGarciaCS Por qué @CiudadanosCs se empeñan en que @Tonicanto1 sea consejero?,"[14, 80]",['Twitter Web App'],0,0,110,460,1606,[],[],Ciudadanos,mención
46,uf_que cansancio#SanchezVeteYa,2021-04-17 10:58:25+00:00,1383374284282744847,¿Ha dicho alguien alguna cosa para los ciudadanos con pobreza capilar?,"[0, 70]",['Twitter for Android'],0,0,1037,1758,53259,[],[],Ciudadanos,mención
47,Jose Luis Rodriguez,2021-04-17 10:58:22+00:00,1383374271217426437,"Q AYUSO mienta diciendo que no tiene vacunas va en su maldad pero que ANTONIO ZAPATERO que es médico y exJefe de Servicio de Interna aterrorice a los ciudadanos diciendo que va a detener la vacunación porque no tiene vacunas es incomprensible

https://t.co/Vt86kJqWge","[0, 267]",['Twitter Web App'],0,1,698,716,51270,[],"[{'url': 'https://t.co/Vt86kJqWge', 'expanded_url': 'https://elpais.com/espana/elecciones-madrid/2021-04-17/los-bulos-de-ayuso-y-sus-dudas-con-las-vacunas-enfangan-la-campana.html', 'display_url': 'elpais.com/espana/eleccio…', 'indices': [244, 267]}]",Ciudadanos,mención
48,Guillermo Manuel,2021-04-17 10:58:11+00:00,1383374222370631685,@melcaxa Si. Ya se sabe que Baleares tiene un gobierno que defiende a sus ciudadanos... Sobre todo a las niñas tuteladas y prostituidas.,"[9, 136]",['Twitter for Android'],0,1,5423,5342,18066,[],[],Ciudadanos,mención
49,nestor contreras,2021-04-17 10:57:44+00:00,1383374108847534087,"🙏😢🙏señores por que abeses las lelles de este país son injustas yo veo en las noticias que esta administración está reunoficando a los niños con sus padres y mis hijos siendo ciudadanos americanos los separaron de sumadre
@RepMariaSalazar @FLOTUS @JoeBiden @VP @RogerMoraTagle","[0, 275]",['Twitter for Android'],0,0,33,167,771,[],[],Ciudadanos,mención
50,Juanipe Herrera,2021-04-17 10:57:39+00:00,1383374091235721217,@dlacalle Alguna vez llevará este gobierno a Bruselas algo bueno y que no sea costoso para los ciudadanos?,"[10, 106]",['Twitter for iPad'],0,0,5,52,198,[],[],Ciudadanos,mención
51,Cydonia del Sur,2021-04-17 10:57:32+00:00,1383374059694526476,@CiudadanosCs @BalEdmundo @EstherRuizCs Viniste a regenerar la política y lo que habéis hecho es pactar con los gobiernos más corruptos de Europa . Iros a la merde y espero que lo consigamos ni un voto . Escoria,"[40, 211]",['Twitter for Android'],0,0,1751,2596,98732,[],[],Ciudadanos,mención
52,🅹🅰🆅🅸 ✠ 🆂🅶📸,2021-04-17 10:57:30+00:00,1383374053679927302,@CiudadanosCs @maitepagaza @BalEdmundo Yo no soy joven 🤷‍♂️,"[39, 59]",['Twitter for iPhone'],0,0,114,319,47,[],[],Ciudadanos,mención
53,Marcela Baratelli,2021-04-17 10:57:11+00:00,1383373971991666690,"Con Edgardo Condeza Vaccaro. Creador y Pte, Nacional del Movimiento por la Consulta y los Derechos Ciudadanos y Luis MESINA. Dirigente Sindical, Vocero de la Coordinadora Nacional NO+AFP
9,30 a 11 hora de Chile / 10,30 a 12 hora Magallanes 
@RodriguezManuel @SalvadorMVios https://t.co/89ZKtxjQJS","[0, 272]",['Twitter Web App'],0,0,2291,2323,11758,[],[],Ciudadanos,mención
54,Juan Español Torres,2021-04-17 10:57:01+00:00,1383373928387670022,"Qué fino es el Alcalde ¿Eh Mot?... @ElMotarrdo 

Martínez-Almeida: «Me parece muy atractiva la número dos de Ciudadanos en la Asamblea» https://t.co/elo3S1GICS a través de @ABC_gente","[0, 182]",['Twitter Web App'],0,0,1192,1064,34531,[],"[{'url': 'https://t.co/elo3S1GICS', 'expanded_url': 'https://www.abc.es/gente/abci-martinez-almeida-parece-atractiva-numero-ciudadanos-asamblea-creo-esta-soltera-202104161939_noticia.html#vca=rrss-inducido&vmc=abc-es&vso=tw&vli=noticia.entrevista', 'display_url': 'abc.es/gente/abci-mar…', 'indices': [136, 159]}]",Ciudadanos,mención
55,Murcia.com,2021-04-17 10:56:48+00:00,1383373875837165571,"El GP Ciudadanos pide incluir ya a los profesores universitarios en la estrategia de vacunación para garantizar una EBAU segura
https://t.co/PiBQ0Bcptb
#regiondemurcia","[0, 167]",['Murcia.com'],0,0,2344,178,159957,"[{'text': 'regiondemurcia', 'indices': [152, 167]}]","[{'url': 'https://t.co/PiBQ0Bcptb', 'expanded_url': 'https://www.murcia.com/region/noticias/2021/04/17-gpc-incluir-ya-a-los-profesores-universitarios-en-la-estrategia-de-vacunacion.asp', 'display_url': 'murcia.com/region/noticia…', 'indices': [128, 151]}]",Ciudadanos,mención
56,@PepitaMonteroParra,2021-04-17 10:56:26+00:00,1383373785194106881,"La riqueza más grande de una nación son sus ciudadanos educados, su sistema de educación! https://t.co/81bK4ppVCg","[0, 89]",['Twitter for Android'],4,5,1861,3716,72395,[],[],Ciudadanos,mención
57,yolanda,2021-04-17 10:56:16+00:00,1383373740499603457,"@facua Muchas Felicidades!! Agradecer el enorme trabajo que realiza, para mejorar la vida de los ciudadanos","[0, 107]",['Twitter for Android'],0,0,53,192,1155,[],[],Ciudadanos,mención
58,🤡🤡,2021-04-17 10:56:02+00:00,1383373684501454856,@pokitasluuces Ciudadanos o PP,"[15, 30]",['Twitter for Android'],0,0,1037,1443,53956,[],[],Ciudadanos,mención
59,Cristian Villarroel,2021-04-17 10:55:52+00:00,1383373639173644290,@ElisaWalkerE Por el bien de chile y sus ciudadanos ojalá toy tu familia de apitutados y pusilánimes farsantes se quede lo más lejos de la asamblea....#careta ja,"[14, 161]",['Twitter for iPhone'],0,0,94,328,757,"[{'text': 'careta', 'indices': [151, 158]}]",[],Ciudadanos,mención
60,Christian Oliva,2021-04-17 10:55:49+00:00,1383373628880809989,"Partidos políticos normales @populares @PSOE @PODEMOS @CiudadanosCs @MasPais_Es ... Dónde puedo ver en la tele vuestros mítines políticos?? No por nada, sino porque el canal del torito no para de echar los de @vox_es y creo q es buena idea verlos todos https://t.co/7EZrerv8jg","[0, 252]",['Twitter for Android'],0,0,85,50,4836,[],[],Ciudadanos,mención
61,madlonz4,2021-04-17 10:55:43+00:00,1383373602917994497,Durante la pandemia Ciudadanos ha acercado la cultura a todos los madrileños #CsEsCultura https://t.co/w71hO8CjpW,"[0, 89]",['Twitter for Android'],5,3,213,593,27755,"[{'text': 'CsEsCultura', 'indices': [77, 89]}]",[],Ciudadanos,mención
62,José Luis Arceo,2021-04-17 10:55:32+00:00,1383373557149757449,"Ciudadanos y Vox luchan por no ser devorados por el 'efecto Ayuso' en las urnas
@elmundoes https://t.co/tQ9z6EFflV","[0, 114]",['Twitter for iPhone'],0,0,898,251,16869,[],"[{'url': 'https://t.co/tQ9z6EFflV', 'expanded_url': 'https://www.elmundo.es/elecciones/elecciones-madrid/2021/04/17/6079c9c3fdddff44908b45b6.html', 'display_url': 'elmundo.es/elecciones/ele…', 'indices': [91, 114]}]",Ciudadanos,mención
63,RTVC,2021-04-17 10:55:13+00:00,1383373475436322817,"Casi el 84 % de los ciudadanos ya realiza compras por internet. 

https://t.co/3i4ACAXajX","[0, 89]",['Twitter Web App'],0,1,65204,546,85750,[],"[{'url': 'https://t.co/3i4ACAXajX', 'expanded_url': 'https://noticias.rtvc.es/mas-de-un-tercio-de-espanoles-duplica-sus-compras-online-al-mes-con-la-covid/', 'display_url': 'noticias.rtvc.es/mas-de-un-terc…', 'indices': [66, 89]}]",Ciudadanos,mención
64,bertaisabel,2021-04-17 10:55:07+00:00,1383373451050713097,".#Ciudadanos @Cs_Madrid Promovió la campaña #CulturaSegura manteniendo abiertos teatros, cines y espectáculos durante la pandemia en la C. de Madrid. #CsEsCultura  #MadrilenosXEdmundo #4M #FelizSabadoATodos https://t.co/5rRoi8sCzt","[0, 206]",['Twitter Web App'],6,5,1963,4896,18572,"[{'text': 'Ciudadanos', 'indices': [1, 12]}, {'text': 'CulturaSegura', 'indices': [44, 58]}, {'text': 'CsEsCultura', 'indices': [150, 162]}, {'text': 'MadrilenosXEdmundo', 'indices': [164, 183]}, {'text': '4M', 'indices': [184, 187]}, {'text': 'FelizSabadoATodos', 'indices': [188, 206]}]",[],Ciudadanos,mención
65,Gobierno de España,2021-04-17 10:55:05+00:00,1383373443840712707,"El Consejo de Ministros ha tomado las siguientes acciones.
Ministers' Council has taken the next measures.

- Los siguientes ciudadanos perderán la ciudadanía en 24 horas por inactividad. Tienen derecho a una querella si quieren mantenerla. https://t.co/3nPFKMAwyn","[0, 240]",['Twitter Web App'],0,1,4,0,4,[],[],Ciudadanos,mención
66,Guti Guadalajara,2021-04-17 10:54:56+00:00,1383373406679101445,"@IsraelMarcoCs @CiudadanosCs Jajajaja, me descojono. No tenéis abuela ni nadie que os diga el ridículo que estáis haciendo?","[29, 123]",['Twitter for Android'],0,0,98,177,1372,[],[],Ciudadanos,mención
67,mis circunstancias 🔽,2021-04-17 10:54:50+00:00,1383373380787728386,"Y tanto que Ciudadanos es Cultura, que nos digan a los Castellanos y Leoneses la millonada que nos cuesta al año la Fundación Siglo XXI para nada y lo que costó el programa de niños ese que daban en La Uno y no veía nadie #CsEsCultura","[0, 234]",['Twitter for Android'],0,0,93,545,36593,"[{'text': 'CsEsCultura', 'indices': [222, 234]}]",[],Ciudadanos,mención
68,william javier,2021-04-17 10:54:44+00:00,1383373354246184968,"@NoticiasCaracol Que locura es está, bien caros que son los servicios funerarios y ahora les van a poner impuesto, hasta morirse en colombia se va a convertir en un lujo, de verdad que esté gobierno nos desprecia a todos los ciudadanos","[17, 235]",['Twitter for Android'],0,0,68,100,6574,[],[],Ciudadanos,mención
69,José M. Salazar,2021-04-17 10:54:36+00:00,1383373323191545856,"Finalmente he encontrado donde pertenezco. 

@CiudadanosCs https://t.co/qUZcM8iNy5","[0, 58]",['Twitter for Android'],0,0,926,1528,3572,[],[],Ciudadanos,mención
70,José L. Prieto ∴ ⚖ 𝑨𝒃𝒐𝒈𝒂𝒅𝒐 🇪🇺,2021-04-17 10:54:20+00:00,1383373255159947265,"La Sala del TC que ha decidido sobre la ilegalidad de la candidatura de IDA tiene, de sus seis Magistrados, cuatro que responden a la mayoría que democráticamente habían expresado los ciudadanos hasta su última renovación parcial, en 2017: conservadores.","[0, 254]",['Twitter for Android'],0,0,2442,273,14251,[],[],Ciudadanos,mención
71,Begi belarri,2021-04-17 10:54:13+00:00,1383373226760306694,Y para los ciudadanos normales de Euskadi tampoco https://t.co/01tMU2AunW tan siquiera para enfermos de riesgo.. un desastre los presumidos estos.. de que presumen si lo hacen todo con nuestros dineros. https://t.co/fwbsNf17Kl,"[0, 202]",['Twitter Web App'],0,2,1142,2069,104768,[],"[{'url': 'https://t.co/01tMU2AunW', 'expanded_url': 'http://hay.ni', 'display_url': 'hay.ni', 'indices': [50, 73]}, {'url': 'https://t.co/fwbsNf17Kl', 'expanded_url': 'https://twitter.com/Arturocyl/status/1383342099664314369', 'display_url': 'twitter.com/Arturocyl/stat…', 'indices': [203, 226]}]",Ciudadanos,mención
72,"Javier, mi rey",2021-04-17 10:54:07+00:00,1383373200243847168,"@JorgeBF @MartosDiego Muy bueno tu análisis. Pero añado que la izquierda también anda muy representada en varios partidos y que Gabilondo ha venido desuniendo el espectro de izquierda en pro del votante de Ciudadanos. Todo puede pasar, aunque la sociedad madrileña ha aprendido a ser liberal","[22, 291]",['Twitter for Android'],0,0,257,376,5945,[],[],Ciudadanos,mención
73,Pelayus Gigia🏛️😸,2021-04-17 10:53:56+00:00,1383373152625913861,@sueldospublicos @CiudadanosCs @populares Portal gubernamental=inutil por definición.,"[42, 85]",['Twitter for Android'],0,1,55,186,1619,[],[],Ciudadanos,mención
74,César Ramírez,2021-04-17 10:53:42+00:00,1383373097051455498,"#17abril Escasez criminal de combustible paraliza al estado Bolívar:  terminales de placa:

5 y 6   llevan  37 días sin surtir

7 y 8    32 días

9 y 0    28 días y 

1 y 2     22 días.

Justo Noguera y Gral Nuñez los ciudadanos necesitan gasolina para su día a día","[0, 265]",['Twitter for Android'],2,2,5248,1577,20335,"[{'text': '17abril', 'indices': [0, 8]}]",[],Ciudadanos,mención
75,chris ramos,2021-04-17 10:53:29+00:00,1383373041720184834,"@BluRadioCo ¿Y al alcalde quién lo ronda? El torcido Palomino acaba de ser absuelto por tú $abe$ quién...
Dios nos ayude a lis ciudadanos de a pie.😪","[12, 148]",['Twitter Web App'],0,0,34,100,8941,[],[],Ciudadanos,mención
76,Antonio Vilela,2021-04-17 10:53:24+00:00,1383373022099243019,"@abc_es @AnaMellado Echando la caña públicamente...
todos a pescar en Ciudadanos...","[20, 83]",['Twitter Web App'],0,0,1330,1588,16240,[],[],Ciudadanos,mención
77,Luis Fernandez,2021-04-17 10:52:53+00:00,1383372891492741124,"@PODEMOS @PabloIglesias Tampoco hay que pedir perdón por ser de derechas. Los votos de los ciudadanos son soberanos, sean de izquierdas o de derechas y se tienen que respetar en especial por los políticos, cosa que no hacéis faltando al respeto del votante. Cuando estáis ahí es por algo","[24, 287]",['Twitter for iPhone'],0,0,5,59,2452,[],[],Ciudadanos,mención
